Accent,Difficulty,Lev Dist
American_US,Easy,90
American_US,Medium,1150
American_US,Hard,1180
British_UK,Easy,98
British_UK,Medium,1150
British_UK,Hard,1178
Chinese,Easy,221
Chinese,Medium,1160
Chinese,Hard,1181
Hindi,Easy,114
Hindi,Medium,1147
Hindi,Hard,1178
Spanish,Easy,308
Spanish,Medium,1154
Spanish,Hard,1168
